dteday,season,hour,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered
2011-01-01,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13
2011-01-01,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32
2011-01-01,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27
2011-01-01,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10
2011-01-01,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1
2011-01-01,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1
2011-01-01,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0
2011-01-01,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2
2011-01-01,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7
2011-01-01,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6
2011-01-01,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24
2011-01-01,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30
2011-01-01,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55
2011-01-01,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47
2011-01-01,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71
2011-01-01,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70
2011-01-01,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52
2011-01-01,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52
2011-01-01,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26
2011-01-01,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31
2011-01-01,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25
2011-01-01,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31
2011-01-01,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17
2011-01-01,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24
2011-01-02,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13
2011-01-02,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16
2011-01-02,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8
2011-01-02,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4
2011-01-02,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1
2011-01-02,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2
2011-01-02,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1
