,dteday,hour,holiday,year,workingday,temp,atemp,hum,windspeed,casual,registered,counts,spring,summer,fall,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Mon,Tue,Wed,Thu,Fri,Sat,Cloudy,Snow,Storm
0,2011-01-01,0,0,0,0,0.24,0.2879,0.81,0.0,3,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2011-01-01,1,0,0,0,0.22,0.2727,0.8,0.0,8,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2011-01-01,2,0,0,0,0.22,0.2727,0.8,0.0,5,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2011-01-01,3,0,0,0,0.24,0.2879,0.75,0.0,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2011-01-01,4,0,0,0,0.24,0.2879,0.75,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2011-01-01,5,0,0,0,0.24,0.2576,0.75,0.0896,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,2011-01-01,7,0,0,0,0.2,0.2576,0.86,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,2011-01-01,8,0,0,0,0.24,0.2879,0.75,0.0,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,2011-01-01,10,0,0,0,0.38,0.3939,0.76,0.2537,12,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,2011-01-01,11,0,0,0,0.36,0.3333,0.81,0.2836,26,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,2011-01-01,12,0,0,0,0.42,0.4242,0.77,0.2836,29,55,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,2011-01-01,13,0,0,0,0.46,0.4545,0.72,0.2985,47,47,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14,2011-01-01,14,0,0,0,0.46,0.4545,0.72,0.2836,35,71,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15,2011-01-01,15,0,0,0,0.44,0.4394,0.77,0.2985,40,70,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
16,2011-01-01,16,0,0,0,0.42,0.4242,0.82,0.2985,41,52,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17,2011-01-01,17,0,0,0,0.44,0.4394,0.82,0.2836,15,52,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,2011-01-01,18,0,0,0,0.42,0.4242,0.88,0.2537,9,26,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19,2011-01-01,19,0,0,0,0.42,0.4242,0.88,0.2537,6,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
21,2011-01-01,21,0,0,0,0.4,0.4091,0.87,0.19399999999999998,3,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22,2011-01-01,22,0,0,0,0.4,0.4091,0.94,0.2239,11,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
23,2011-01-01,23,0,0,0,0.46,0.4545,0.88,0.2985,15,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24,2011-01-02,0,0,0,0,0.46,0.4545,0.88,0.2985,4,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,2011-01-02,1,0,0,0,0.44,0.4394,0.94,0.2537,1,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,2011-01-02,2,0,0,0,0.42,0.4242,1.0,0.2836,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,2011-01-02,3,0,0,0,0.46,0.4545,0.94,0.19399999999999998,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,2011-01-02,4,0,0,0,0.46,0.4545,0.94,0.19399999999999998,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,2011-01-02,6,0,0,0,0.42,0.4242,0.77,0.2985,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,2011-01-02,7,0,0,0,0.4,0.4091,0.76,0.19399999999999998,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,2011-01-02,8,0,0,0,0.4,0.4091,0.71,0.2239,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,2011-01-02,9,0,0,0,0.38,0.3939,0.76,0.2239,1,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,2011-01-02,11,0,0,0,0.36,0.3333,0.71,0.2537,16,54,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,2011-01-02,13,0,0,0,0.36,0.3485,0.66,0.1343,11,64,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,2011-01-02,14,0,0,0,0.36,0.3485,0.76,0.19399999999999998,4,55,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,2011-01-02,16,0,0,0,0.34,0.3333,0.71,0.1642,9,67,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,2011-01-02,18,0,0,0,0.36,0.3333,0.46,0.3284,10,43,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,2011-01-02,19,0,0,0,0.32,0.2879,0.42,0.4478,1,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2011-01-02,20,0,0,0,0.3,0.2727,0.39,0.3582,5,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2011-01-02,21,0,0,0,0.26,0.2273,0.44,0.3284,11,20,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
