,AWND,Base,Day,Dropoff_latitude,Dropoff_longitude,Ehail_fee,Extra,Fare_amount,Lpep_dropoff_datetime,MTA_tax,PRCP,Passenger_count,Payment_type,Pickup_latitude,Pickup_longitude,RateCodeID,SNOW,SNWD,Store_and_fwd_flag,TMAX,TMIN,Tip_amount,Tolls_amount,Total_amount,Trip_distance,Trip_type,Type,VendorID,lpep_pickup_datetime,Trip Length (min)
864993,6.0,,7,40.7732429504,-73.9823226929,,1.0,13.0,2014-04-07 19:18:39,0.5,0.52,1.0,2.0,40.8081741333,-73.9639663696,1.0,0.0,0.0,N,53,43,0.0,0.0,14.5,2.66,1.0,0,2.0,2014-04-07 19:03:02,15.0
1097162,4.3,,12,40.7685508728,-73.9853286743,,0.5,11.5,2014-04-12 23:55:22,0.5,0.0,1.0,1.0,40.7997322083,-73.9560012817,1.0,0.0,0.0,N,73,50,2.5,0.0,15.0,2.9,1.0,0,1.0,2014-04-12 23:44:06,11.0
1443848,4.3,,21,40.8014411926,-73.942199707,,0.5,8.0,2014-04-21 00:16:58,0.5,0.0,1.0,2.0,40.8164367676,-73.9393157959,1.0,0.0,0.0,N,67,41,0.0,0.0,9.0,1.36,1.0,0,2.0,2014-04-21 00:09:03,7.0
975479,6.9,,10,40.7956428528,-73.9345016479,,1.0,9.5,2014-04-10 17:59:22,0.5,0.0,1.0,2.0,40.7899284363,-73.952293396,1.0,0.0,0.0,N,58,42,0.0,0.0,11.0,1.59,1.0,0,2.0,2014-04-10 17:47:18,12.0
705040,8.5,,4,40.800113678,-73.93858337399999,,1.0,6.0,2014-04-04 16:37:31,0.5,0.21,2.0,1.0,40.7883605957,-73.9471359253,1.0,0.0,0.0,N,47,40,0.0,0.0,7.5,0.9,,0,1.0,2014-04-04 16:31:24,6.0
1559826,8.5,,24,40.6841087341,-73.977722168,,0.0,7.0,2014-04-24 09:41:43,0.5,0.0,1.0,2.0,40.6898765564,-73.9944381714,1.0,0.0,0.0,N,62,42,0.0,0.0,7.5,1.18,1.0,0,2.0,2014-04-24 09:35:00,6.0
1081310,4.3,,12,40.7509040833,-73.9389343262,,0.0,4.0,2014-04-12 19:47:26,0.5,0.0,1.0,2.0,40.7538414001,-73.9424133301,1.0,0.0,0.0,N,73,50,0.0,0.0,4.5,0.46,1.0,0,2.0,2014-04-12 19:44:33,2.0
601250,2.0,,2,40.6827507019,-73.9737472534,,0.5,5.5,2014-04-02 00:13:35,0.5,0.0,1.0,1.0,40.671005249000004,-73.9847335815,1.0,0.0,0.0,N,54,42,1.95,0.0,8.45,1.1,,0,1.0,2014-04-02 00:09:16,4.0
199147,8.9,B02598,29,,,,,11.577069551400001,2014-04-29 12:52:00,,0.03,,,40.7145,-74.0156,,0.0,0.0,,52,43,,,,3.1139107678299998,,1,,2014-04-29 12:41:00,11.0
1839417,8.3,,30,40.8341636658,-73.9446334839,,0.0,6.0,2014-04-30 11:41:12,0.5,4.97,1.0,1.0,40.824131011999995,-73.944694519,1.0,0.0,0.0,Y,52,41,1.6,0.0,8.1,1.0,1.0,0,1.0,2014-04-30 11:35:37,5.0
